log_id,log_content,root_cause,severity,sw_version,platform,has_missing_blocks,has_overwritten,log_size,component
LOG_00010,"[17.01.26 01:22:03] ERRMEM: VERSIONINFO: PIVI_SW4110
[17.01.26 01:22:03] Platform: gen3
[17.01.26 01:22:03] Component: Kernel
[17.01.26 01:22:03] WARNING: Task execution time exceeded threshold
[17.01.26 01:22:03] ERROR: WATCHDOG_RESET triggered
[17.01.26 01:22:03] TRACE: System reset due to watchdog timeout
[17.01.26 01:22:03] INFO: Last task: Kernel_handler
[17.01.26 01:22:03] CRITICAL: System HANG
[17.01.26 01:22:03] INFO: Component initialized successfully",Watchdog Timeout,CRITICAL,PIVI_SW4110,gen3,False,True,37364,System
LOG_00011,"[26.12.25 01:22:03] ERRMEM: VERSIONINFO: AIVI_SW5244
[26.12.25 01:22:03] Platform: gen3
[26.12.25 01:22:03] Component: Kernel
[26.12.25 01:22:03] CRITICAL: Kernel panic detected
[26.12.25 01:22:03] ERROR: Unable to handle kernel NULL pointer dereference
[26.12.25 01:22:03] TRACE: Exception at address 0x2613
[26.12.25 01:22:03] ERROR: CPU 3 PANIC
[26.12.25 01:22:03] CRITICAL: System halted
[26.12.25 01:22:03] INFO: System running normally
[26.12.25 01:22:03] INFO: Component initialized successfully",Kernel Panic,CRITICAL,AIVI_SW5244,gen3,True,True,18427,System
LOG_00012,"[01.01.26 01:22:03] ERRMEM: VERSIONINFO: PIVI_SW4110
[01.01.26 01:22:03] Platform: gen4
[01.01.26 01:22:03] Component: Audio
[01.01.26 01:22:03] WARNING: High memory usage detected
[01.01.26 01:22:03] ERROR: Heap allocation failed in Audio
[01.01.26 01:22:03] TRACE: malloc returned NULL
[01.01.26 01:22:03] INFO: Available memory: 128 KB / 2048 KB
[01.01.26 01:22:03] ERROR: Memory leak suspected in navigation module
[01.01.26 01:22:03] TRACE: ALLOCATION - size: 1862 bytes
[01.01.26 01:22:03] DEBUG: Processing event queue
[01.01.26 01:22:03] INFO: System running normally
[01.01.26 01:22:03] INFO: Component initialized successfully",Memory Leak,HIGH,PIVI_SW4110,gen4,False,False,38163,Audio
LOG_00013,"[11.01.26 01:22:03] ERRMEM: VERSIONINFO: PIVI_SW4100
[11.01.26 01:22:03] Platform: gen3
[11.01.26 01:22:03] Component: SW_SWUPDATE
[11.01.26 01:22:03] INFO: Starting software update
[11.01.26 01:22:03] WARNING: Update verification failed
[11.01.26 01:22:03] ERROR: Flash write error at block 441
[11.01.26 01:22:03] TRACE: Rolling back to previous version
[11.01.26 01:22:03] CRITICAL: Software UPDATE
[11.01.26 01:22:03] INFO: System running normally
[11.01.26 01:22:03] DEBUG: Processing event queue
[11.01.26 01:22:03] INFO: Component initialized successfully",SW Update Failure,HIGH,PIVI_SW4100,gen3,True,False,22190,SW_SWUPDATE
LOG_00014,"[29.12.25 01:22:03] ERRMEM: VERSIONINFO: PIVI_SW4100
[29.12.25 01:22:03] Platform: gen3
[29.12.25 01:22:03] Component: System
[29.12.25 01:22:03] ERROR: SUCCESS in System
[29.12.25 01:22:03] ERROR: OK in System
[29.12.25 01:22:03] ERROR: SUCCESS in System
[29.12.25 01:22:03] DEBUG: Processing event queue
[29.12.25 01:22:03] INFO: System running normally",No Issue,LOW,PIVI_SW4100,gen3,True,False,49212,System
LOG_00015,"[05.01.26 01:22:03] ERRMEM: VERSIONINFO: PIVI_SW4100
[05.01.26 01:22:03] Platform: gen3
[05.01.26 01:22:03] Component: Unknown
[05.01.26 01:22:03] ERROR: EXCEPTION in Unknown
[05.01.26 01:22:03] ERROR: ERROR in Unknown
[05.01.26 01:22:03] ERROR: WARNING in Unknown
[05.01.26 01:22:03] INFO: System running normally
[05.01.26 01:22:03] DEBUG: Processing event queue",Unknown Issue,MEDIUM,PIVI_SW4100,gen3,True,True,790,Unknown
LOG_00016,"[08.01.26 01:22:03] ERRMEM: VERSIONINFO: PIVI_SW4110
[08.01.26 01:22:03] Platform: gen3
[08.01.26 01:22:03] Component: Network
[08.01.26 01:22:03] WARNING: CAN bus error detected
[08.01.26 01:22:03] ERROR: Frame transmission failed on CAN2
[08.01.26 01:22:03] TRACE: Bus-off state entered
[08.01.26 01:22:03] INFO: Error counter: 167
[08.01.26 01:22:03] ERROR: ERROR on CAN interface
[08.01.26 01:22:03] DEBUG: Processing event queue
[08.01.26 01:22:03] INFO: System running normally",CAN Bus Error,MEDIUM,PIVI_SW4110,gen3,True,True,29385,CAN
LOG_00017,"[20.01.26 01:22:03] ERRMEM: VERSIONINFO: PIVI_SW4100
[20.01.26 01:22:03] Platform: gen3
[20.01.26 01:22:03] Component: Kernel
[20.01.26 01:22:03] CRITICAL: Kernel panic detected
[20.01.26 01:22:03] ERROR: Unable to handle kernel NULL pointer dereference
[20.01.26 01:22:03] TRACE: Exception at address 0x0E8B
[20.01.26 01:22:03] ERROR: CPU 1 KERNEL
[20.01.26 01:22:03] CRITICAL: System halted
[20.01.26 01:22:03] INFO: Component initialized successfully
[20.01.26 01:22:03] DEBUG: Processing event queue
[20.01.26 01:22:03] INFO: System running normally",Kernel Panic,CRITICAL,PIVI_SW4100,gen3,True,True,6124,Kernel
LOG_00018,"[26.12.25 01:22:03] ERRMEM: VERSIONINFO: AIVI_SW5250
[26.12.25 01:22:03] Platform: gen3
[26.12.25 01:22:03] Component: Communication
[26.12.25 01:22:03] ERROR: SOCKET in Communication
[26.12.25 01:22:03] ERROR: SOCKET in Communication
[26.12.25 01:22:03] ERROR: TIMEOUT in Communication
[26.12.25 01:22:03] ERROR: NETWORK in Communication
[26.12.25 01:22:03] ERROR: REFUSED in Communication
[26.12.25 01:22:03] INFO: Component initialized successfully",Network Timeout,LOW,AIVI_SW5250,gen3,False,True,2012,Communication
LOG_00019,"[28.12.25 01:22:03] ERRMEM: VERSIONINFO: AIVI_SW5250
[28.12.25 01:22:03] Platform: gen3
[28.12.25 01:22:03] Component: Communication
[28.12.25 01:22:03] ERROR: SOCKET in Communication
[28.12.25 01:22:03] ERROR: CONNECTION in Communication
[28.12.25 01:22:03] ERROR: TIMEOUT in Communication
[28.12.25 01:22:03] ERROR: CONNECTION in Communication
[28.12.25 01:22:03] ERROR: CONNECTION in Communication
[28.12.25 01:22:03] ERROR: CONNECTION in Communication
[28.12.25 01:22:03] INFO: System running normally
[28.12.25 01:22:03] INFO: Component initialized successfully
[28.12.25 01:22:03] DEBUG: Processing event queue",Network Timeout,LOW,AIVI_SW5250,gen3,False,True,13584,Communication
LOG_00020,"[06.01.26 01:22:03] ERRMEM: VERSIONINFO: PIVI_SW4100
[06.01.26 01:22:03] Platform: gen3
[06.01.26 01:22:03] Component: Power
[06.01.26 01:22:03] WARNING: Task execution time exceeded threshold
[06.01.26 01:22:03] ERROR: WATCHDOG_RESET triggered
[06.01.26 01:22:03] TRACE: System reset due to watchdog timeout
[06.01.26 01:22:03] INFO: Last task: Power_handler
[06.01.26 01:22:03] CRITICAL: System WDT
[06.01.26 01:22:03] DEBUG: Processing event queue
[06.01.26 01:22:03] INFO: System running normally
[06.01.26 01:22:03] INFO: Component initialized successfully",Watchdog Timeout,CRITICAL,PIVI_SW4100,gen3,False,True,27674,Power
LOG_00021,"[23.12.25 01:22:03] ERRMEM: VERSIONINFO: PIVI_SW4110
[23.12.25 01:22:03] Platform: gen3
[23.12.25 01:22:03] Component: System
[23.12.25 01:22:03] INFO: Starting software update
[23.12.25 01:22:03] WARNING: Update verification failed
[23.12.25 01:22:03] ERROR: Flash write error at block 440
[23.12.25 01:22:03] TRACE: Rolling back to previous version
[23.12.25 01:22:03] CRITICAL: Software INSTALLATION
[23.12.25 01:22:03] DEBUG: Processing event queue
[23.12.25 01:22:03] INFO: System running normally
[23.12.25 01:22:03] INFO: Component initialized successfully",SW Update Failure,HIGH,PIVI_SW4110,gen3,True,True,35921,SW_SWUPDATE
LOG_00022,"[05.01.26 01:22:03] ERRMEM: VERSIONINFO: PIVI_SW4110
[05.01.26 01:22:03] Platform: gen4
[05.01.26 01:22:03] Component: FileSystem
[05.01.26 01:22:03] ERROR: MOUNT in FileSystem
[05.01.26 01:22:03] ERROR: READ in FileSystem
[05.01.26 01:22:03] ERROR: CORRUPT in FileSystem
[05.01.26 01:22:03] INFO: Component initialized successfully
[05.01.26 01:22:03] DEBUG: Processing event queue",File System Error,MEDIUM,PIVI_SW4110,gen4,True,True,19275,FileSystem
LOG_00023,"[31.12.25 01:22:03] ERRMEM: VERSIONINFO: AIVI_SW5244
[31.12.25 01:22:03] Platform: gen3
[31.12.25 01:22:03] Component: FileSystem
[31.12.25 01:22:03] ERROR: READ in FileSystem
[31.12.25 01:22:03] ERROR: READ in FileSystem
[31.12.25 01:22:03] ERROR: MOUNT in FileSystem
[31.12.25 01:22:03] ERROR: INODE in FileSystem
[31.12.25 01:22:03] ERROR: FILESYSTEM in FileSystem
[31.12.25 01:22:03] DEBUG: Processing event queue
[31.12.25 01:22:03] INFO: System running normally
[31.12.25 01:22:03] INFO: Component initialized successfully",File System Error,MEDIUM,AIVI_SW5244,gen3,True,False,24018,FileSystem
LOG_00024,"[06.01.26 01:22:03] ERRMEM: VERSIONINFO: AIVI_SW5244
[06.01.26 01:22:03] Platform: gen4
[06.01.26 01:22:03] Component: System
[06.01.26 01:22:03] WARNING: Task execution time exceeded threshold
[06.01.26 01:22:03] ERROR: WATCHDOG_RESET triggered
[06.01.26 01:22:03] TRACE: System reset due to watchdog timeout
[06.01.26 01:22:03] INFO: Last task: System_handler
[06.01.26 01:22:03] CRITICAL: System TIMEOUT
[06.01.26 01:22:03] DEBUG: Processing event queue
[06.01.26 01:22:03] INFO: System running normally",Watchdog Timeout,CRITICAL,AIVI_SW5244,gen4,True,False,5834,System
LOG_00025,"[26.12.25 01:22:03] ERRMEM: VERSIONINFO: PIVI_SW4100
[26.12.25 01:22:03] Platform: gen3
[26.12.25 01:22:03] Component: Navigation
[26.12.25 01:22:03] WARNING: High memory usage detected
[26.12.25 01:22:03] ERROR: Heap allocation failed in Navigation
[26.12.25 01:22:03] TRACE: malloc returned NULL
[26.12.25 01:22:03] INFO: Available memory: 128 KB / 2048 KB
[26.12.25 01:22:03] ERROR: Memory leak suspected in navigation module
[26.12.25 01:22:03] TRACE: FREE - size: 4508 bytes
[26.12.25 01:22:03] DEBUG: Processing event queue
[26.12.25 01:22:03] INFO: System running normally
[26.12.25 01:22:03] INFO: Component initialized successfully",Memory Leak,HIGH,PIVI_SW4100,gen3,False,True,12128,Navigation
LOG_00026,"[07.01.26 01:22:03] ERRMEM: VERSIONINFO: PIVI_SW4110
[07.01.26 01:22:03] Platform: gen4
[07.01.26 01:22:03] Component: CAN
[07.01.26 01:22:03] WARNING: CAN bus error detected
[07.01.26 01:22:03] ERROR: Frame transmission failed on CAN2
[07.01.26 01:22:03] TRACE: Bus-off state entered
[07.01.26 01:22:03] INFO: Error counter: 152
[07.01.26 01:22:03] ERROR: COMMUNICATION on CAN interface
[07.01.26 01:22:03] INFO: Component initialized successfully",CAN Bus Error,MEDIUM,PIVI_SW4110,gen4,False,False,25112,Communication
LOG_00027,"[10.01.26 01:22:03] ERRMEM: VERSIONINFO: PIVI_SW4100
[10.01.26 01:22:03] Platform: gen3
[10.01.26 01:22:03] Component: Power
[10.01.26 01:22:03] WARNING: Task execution time exceeded threshold
[10.01.26 01:22:03] ERROR: WATCHDOG_RESET triggered
[10.01.26 01:22:03] TRACE: System reset due to watchdog timeout
[10.01.26 01:22:03] INFO: Last task: Power_handler
[10.01.26 01:22:03] CRITICAL: System RESET
[10.01.26 01:22:03] INFO: System running normally
[10.01.26 01:22:03] DEBUG: Processing event queue
[10.01.26 01:22:03] INFO: Component initialized successfully",Watchdog Timeout,CRITICAL,PIVI_SW4100,gen3,False,True,22413,System
LOG_00028,"[06.01.26 01:22:03] ERRMEM: VERSIONINFO: PIVI_SW4100
[06.01.26 01:22:03] Platform: gen3
[06.01.26 01:22:03] Component: System
[06.01.26 01:22:03] WARNING: Task execution time exceeded threshold
[06.01.26 01:22:03] ERROR: WATCHDOG_RESET triggered
[06.01.26 01:22:03] TRACE: System reset due to watchdog timeout
[06.01.26 01:22:03] INFO: Last task: System_handler
[06.01.26 01:22:03] CRITICAL: System DEADLOCK
[06.01.26 01:22:03] INFO: Component initialized successfully",Watchdog Timeout,CRITICAL,PIVI_SW4100,gen3,True,False,18543,System
LOG_00029,"[10.01.26 01:22:03] ERRMEM: VERSIONINFO: PIVI_SW4100
[10.01.26 01:22:03] Platform: gen4
[10.01.26 01:22:03] Component: Kernel
[10.01.26 01:22:03] WARNING: Task execution time exceeded threshold
[10.01.26 01:22:03] ERROR: WATCHDOG_RESET triggered
[10.01.26 01:22:03] TRACE: System reset due to watchdog timeout
[10.01.26 01:22:03] INFO: Last task: Kernel_handler
[10.01.26 01:22:03] CRITICAL: System TIMEOUT
[10.01.26 01:22:03] INFO: System running normally
[10.01.26 01:22:03] DEBUG: Processing event queue",Watchdog Timeout,CRITICAL,PIVI_SW4100,gen4,True,True,6856,Kernel
LOG_00030,"[12.01.26 01:22:03] ERRMEM: VERSIONINFO: PIVI_SW4110
[12.01.26 01:22:03] Platform: gen4
[12.01.26 01:22:03] Component: Storage
[12.01.26 01:22:03] ERROR: INODE in Storage
[12.01.26 01:22:03] ERROR: CORRUPT in Storage
[12.01.26 01:22:03] ERROR: INODE in Storage
[12.01.26 01:22:03] ERROR: MOUNT in Storage
[12.01.26 01:22:03] ERROR: MOUNT in Storage
[12.01.26 01:22:03] ERROR: FILESYSTEM in Storage
[12.01.26 01:22:03] INFO: System running normally
[12.01.26 01:22:03] DEBUG: Processing event queue",File System Error,MEDIUM,PIVI_SW4110,gen4,True,False,40591,FileSystem
LOG_00031,"[18.01.26 01:22:03] ERRMEM: VERSIONINFO: PIVI_SW4110
[18.01.26 01:22:03] Platform: gen3
[18.01.26 01:22:03] Component: System
[18.01.26 01:22:03] WARNING: Task execution time exceeded threshold
[18.01.26 01:22:03] ERROR: WATCHDOG_RESET triggered
[18.01.26 01:22:03] TRACE: System reset due to watchdog timeout
[18.01.26 01:22:03] INFO: Last task: System_handler
[18.01.26 01:22:03] CRITICAL: System WDT
[18.01.26 01:22:03] DEBUG: Processing event queue
[18.01.26 01:22:03] INFO: Component initialized successfully
[18.01.26 01:22:03] INFO: System running normally",Watchdog Timeout,CRITICAL,PIVI_SW4110,gen3,False,False,42339,Power
LOG_00032,"[21.01.26 01:22:03] ERRMEM: VERSIONINFO: PIVI_SW4110
[21.01.26 01:22:03] Platform: gen3
[21.01.26 01:22:03] Component: Power
[21.01.26 01:22:03] WARNING: Task execution time exceeded threshold
[21.01.26 01:22:03] ERROR: WATCHDOG_RESET triggered
[21.01.26 01:22:03] TRACE: System reset due to watchdog timeout
[21.01.26 01:22:03] INFO: Last task: Power_handler
[21.01.26 01:22:03] CRITICAL: System TIMEOUT
[21.01.26 01:22:03] DEBUG: Processing event queue
[21.01.26 01:22:03] INFO: System running normally",Watchdog Timeout,CRITICAL,PIVI_SW4110,gen3,True,True,31727,Kernel
LOG_00033,"[08.01.26 01:22:03] ERRMEM: VERSIONINFO: AIVI_SW5244
[08.01.26 01:22:03] Platform: gen3
[08.01.26 01:22:03] Component: Multimedia
[08.01.26 01:22:03] WARNING: High memory usage detected
[08.01.26 01:22:03] ERROR: Heap allocation failed in Multimedia
[08.01.26 01:22:03] TRACE: malloc returned NULL
[08.01.26 01:22:03] INFO: Available memory: 128 KB / 2048 KB
[08.01.26 01:22:03] ERROR: Memory leak suspected in navigation module
[08.01.26 01:22:03] TRACE: HEAP - size: 1054 bytes
[08.01.26 01:22:03] INFO: Component initialized successfully
[08.01.26 01:22:03] INFO: System running normally",Memory Leak,HIGH,AIVI_SW5244,gen3,False,False,9421,Multimedia
LOG_00034,"[10.01.26 01:22:03] ERRMEM: VERSIONINFO: AIVI_SW5250
[10.01.26 01:22:03] Platform: gen4
[10.01.26 01:22:03] Component: Network
[10.01.26 01:22:03] ERROR: TIMEOUT in Network
[10.01.26 01:22:03] ERROR: NETWORK in Network
[10.01.26 01:22:03] ERROR: SOCKET in Network
[10.01.26 01:22:03] ERROR: SOCKET in Network
[10.01.26 01:22:03] ERROR: CONNECTION in Network
[10.01.26 01:22:03] DEBUG: Processing event queue",Network Timeout,LOW,AIVI_SW5250,gen4,True,False,12661,Communication
LOG_00035,"[11.01.26 01:22:03] ERRMEM: VERSIONINFO: AIVI_SW5244
[11.01.26 01:22:03] Platform: gen3
[11.01.26 01:22:03] Component: System
[11.01.26 01:22:03] WARNING: Task execution time exceeded threshold
[11.01.26 01:22:03] ERROR: WATCHDOG_RESET triggered
[11.01.26 01:22:03] TRACE: System reset due to watchdog timeout
[11.01.26 01:22:03] INFO: Last task: System_handler
[11.01.26 01:22:03] CRITICAL: System WDT
[11.01.26 01:22:03] DEBUG: Processing event queue
[11.01.26 01:22:03] INFO: System running normally
[11.01.26 01:22:03] INFO: Component initialized successfully",Watchdog Timeout,CRITICAL,AIVI_SW5244,gen3,False,False,47743,Kernel
LOG_00036,"[27.12.25 01:22:03] ERRMEM: VERSIONINFO: PIVI_SW4100
[27.12.25 01:22:03] Platform: gen3
[27.12.25 01:22:03] Component: Unknown
[27.12.25 01:22:03] ERROR: FAILED in Unknown
[27.12.25 01:22:03] ERROR: FAILED in Unknown
[27.12.25 01:22:03] ERROR: WARNING in Unknown
[27.12.25 01:22:03] INFO: System running normally
[27.12.25 01:22:03] INFO: Component initialized successfully
[27.12.25 01:22:03] DEBUG: Processing event queue",Unknown Issue,MEDIUM,PIVI_SW4100,gen3,True,True,32013,Unknown
LOG_00037,"[06.01.26 01:22:03] ERRMEM: VERSIONINFO: PIVI_SW4100
[06.01.26 01:22:03] Platform: gen3
[06.01.26 01:22:03] Component: Network
[06.01.26 01:22:03] WARNING: CAN bus error detected
[06.01.26 01:22:03] ERROR: Frame transmission failed on CAN2
[06.01.26 01:22:03] TRACE: Bus-off state entered
[06.01.26 01:22:03] INFO: Error counter: 158
[06.01.26 01:22:03] ERROR: FRAME on CAN interface
[06.01.26 01:22:03] INFO: Component initialized successfully
[06.01.26 01:22:03] DEBUG: Processing event queue",CAN Bus Error,MEDIUM,PIVI_SW4100,gen3,False,True,26291,Network
LOG_00038,"[24.12.25 01:22:03] ERRMEM: VERSIONINFO: AIVI_SW5244
[24.12.25 01:22:03] Platform: gen4
[24.12.25 01:22:03] Component: FileSystem
[24.12.25 01:22:03] ERROR: MOUNT in FileSystem
[24.12.25 01:22:03] ERROR: MOUNT in FileSystem
[24.12.25 01:22:03] ERROR: INODE in FileSystem
[24.12.25 01:22:03] ERROR: MOUNT in FileSystem
[24.12.25 01:22:03] ERROR: READ in FileSystem
[24.12.25 01:22:03] ERROR: INODE in FileSystem
[24.12.25 01:22:03] DEBUG: Processing event queue
[24.12.25 01:22:03] INFO: Component initialized successfully",File System Error,MEDIUM,AIVI_SW5244,gen4,False,False,12730,FileSystem
LOG_00039,"[26.12.25 01:22:03] ERRMEM: VERSIONINFO: PIVI_SW4100
[26.12.25 01:22:03] Platform: gen3
[26.12.25 01:22:03] Component: Unknown
[26.12.25 01:22:03] ERROR: FAILED in Unknown
[26.12.25 01:22:03] ERROR: ISSUE in Unknown
[26.12.25 01:22:03] ERROR: ERROR in Unknown
[26.12.25 01:22:03] ERROR: EXCEPTION in Unknown
[26.12.25 01:22:03] ERROR: ERROR in Unknown
[26.12.25 01:22:03] ERROR: EXCEPTION in Unknown
[26.12.25 01:22:03] DEBUG: Processing event queue
[26.12.25 01:22:03] INFO: System running normally
[26.12.25 01:22:03] INFO: Component initialized successfully",Unknown Issue,MEDIUM,PIVI_SW4100,gen3,False,True,17666,Unknown
LOG_00040,"[02.01.26 01:22:03] ERRMEM: VERSIONINFO: AIVI_SW5244
[02.01.26 01:22:03] Platform: gen4
[02.01.26 01:22:03] Component: Communication
[02.01.26 01:22:03] ERROR: REFUSED in Communication
[02.01.26 01:22:03] ERROR: TIMEOUT in Communication
[02.01.26 01:22:03] ERROR: REFUSED in Communication
[02.01.26 01:22:03] ERROR: TCP in Communication
[02.01.26 01:22:03] INFO: System running normally",Network Timeout,LOW,AIVI_SW5244,gen4,True,True,21602,Communication
LOG_00041,"[01.01.26 01:22:03] ERRMEM: VERSIONINFO: PIVI_SW4110
[01.01.26 01:22:03] Platform: gen4
[01.01.26 01:22:03] Component: Unknown
[01.01.26 01:22:03] ERROR: EXCEPTION in Unknown
[01.01.26 01:22:03] ERROR: EXCEPTION in Unknown
[01.01.26 01:22:03] ERROR: FAILED in Unknown
[01.01.26 01:22:03] ERROR: WARNING in Unknown
[01.01.26 01:22:03] DEBUG: Processing event queue
[01.01.26 01:22:03] INFO: Component initialized successfully
[01.01.26 01:22:03] INFO: System running normally",Unknown Issue,MEDIUM,PIVI_SW4110,gen4,True,False,23702,Unknown
